depth	min95%	max95%	best	accrate
632	17132	19420	18293	42.87
633	17148	19474	18336	42.84
634	17171	19525	18379	42.81
635	17198	19574	18422	42.77
636	17216	19630	18465	42.74
637	17236	19686	18507	42.71
638	17258	19743	18550	42.67
639	17293	19795	18593	42.64
640	17326	19848	18635	42.6
641	17348	19900	18678	42.57
642	17369	19957	18720	42.53
643	17390	20016	18763	42.5
644	17411	20074	18806	42.46
645	17431	20132	18848	42.43
646	17452	20191	18890	42.39
647	17472	20250	18933	42.35
648	17491	20312	18975	42.32
649	17511	20372	19017	42.28
650	17530	20433	19060	NA
