depth	min95%	max95%	best	accrate
606	15649	17358	16247	27.5
607	15681	17391	16274	27.49
608	15709	17424	16302	27.47
609	15734	17457	16329	27.46
610	15759	17490	16356	27.45
611	15788	17523	16384	27.44
612	15814	17556	16411	27.42
613	15840	17589	16439	27.41
614	15865	17621	16466	27.4
615	15891	17654	16494	27.39
616	15919	17687	16521	27.38
617	15948	17718	16548	27.37
618	15975	17750	16576	27.36
619	16001	17781	16603	27.35
620	16029	17812	16630	27.34
621	16057	17843	16658	27.33
622	16086	17874	16685	27.32
623	16115	17907	16712	27.31
624	16145	17940	16740	27.3
625	16174	17972	16767	27.29
626	16203	18005	16794	27.29
627	16227	18037	16822	27.28
628	16254	18070	16849	27.27
629	16282	18103	16876	27.26
630	16311	18135	16903	27.26
631	16339	18168	16931	27.25
632	16370	18200	16958	27.25
633	16399	18233	16985	27.24
634	16424	18265	17012	27.24
635	16450	18298	17040	27.23
636	16475	18330	17067	27.23
637	16500	18363	17094	27.22
638	16526	18395	17121	27.22
639	16551	18428	17149	27.21
640	16576	18460	17176	27.21
641	16600	18493	17203	27.21
642	16625	18524	17230	27.21
643	16649	18555	17257	27.2
644	16674	18585	17285	27.2
645	16699	18616	17312	27.2
646	16723	18646	17339	27.2
647	16747	18678	17366	27.2
648	16772	18710	17393	27.2
649	16797	18742	17421	27.2
650	16822	18775	17448	NA
